study_accession,sample_accession,sample_name,run_accession,read_count,fastq_ftp
PRJEB1786,SAMEA1906436,524,ERR260189,18230908,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260189/ERR260189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260189/ERR260189_2.fastq.gz
PRJEB1786,SAMEA1906422,526,ERR260190,20508040,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260190/ERR260190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260190/ERR260190_2.fastq.gz
PRJEB1786,SAMEA1906574,529,ERR260191,24499043,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260191/ERR260191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260191/ERR260191_2.fastq.gz
PRJEB1786,SAMEA1906557,530,ERR260192,19111467,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260192/ERR260192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260192/ERR260192_2.fastq.gz
PRJEB1786,SAMEA1906539,53,ERR260193,13971868,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260193/ERR260193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260193/ERR260193_2.fastq.gz
PRJEB1786,SAMEA1906524,536,ERR260194,21249499,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260194/ERR260194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260194/ERR260194_2.fastq.gz
PRJEB1786,SAMEA1906477,54,ERR260195,13561331,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260195/ERR260195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260195/ERR260195_2.fastq.gz
PRJEB1786,SAMEA1906426,543,ERR260196,21058400,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260196/ERR260196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260196/ERR260196_2.fastq.gz
PRJEB1786,SAMEA1906440,547,ERR260197,20552129,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260197/ERR260197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260197/ERR260197_2.fastq.gz
PRJEB1786,SAMEA1906548,551,ERR260198,23567440,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260198/ERR260198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260198/ERR260198_2.fastq.gz
PRJEB1786,SAMEA1906570,552,ERR260199,15013773,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260199/ERR260199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260199/ERR260199_2.fastq.gz
PRJEB1786,SAMEA1906577,558,ERR260200,17605647,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260200/ERR260200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260200/ERR260200_2.fastq.gz
PRJEB1786,SAMEA1906514,561,ERR260201,21396140,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260201/ERR260201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260201/ERR260201_2.fastq.gz
PRJEB1786,SAMEA1906545,563,ERR260202,17149775,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260202/ERR260202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260202/ERR260202_2.fastq.gz
PRJEB1786,SAMEA1906531,577,ERR260203,14155779,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260203/ERR260203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260203/ERR260203_2.fastq.gz
PRJEB1786,SAMEA1906503,58,ERR260204,13213300,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260204/ERR260204_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260204/ERR260204_2.fastq.gz
PRJEB1786,SAMEA1906565,584,ERR260205,14999378,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260205/ERR260205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260205/ERR260205_2.fastq.gz
PRJEB1786,SAMEA1906424,587,ERR260206,13696641,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260206/ERR260206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260206/ERR260206_2.fastq.gz
PRJEB1786,SAMEA1906446,589,ERR260207,15696073,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260207/ERR260207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260207/ERR260207_2.fastq.gz
PRJEB1786,SAMEA1906462,591,ERR260208,18976106,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260208/ERR260208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260208/ERR260208_2.fastq.gz
